id,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127
vec-0,0.278854,-0.949978,-0.449941,-0.553579,0.472942,0.353399,0.784359,-0.826122,-0.156156,-0.940406,-0.562724,0.010711,-0.946928,-0.602325,0.299769,0.089883,-0.559119,0.178531,0.618861,-0.987002,0.611639,0.396279,-0.319499,-0.689041,0.914426,-0.326811,-0.814508,-0.806567,0.694989,0.207452,0.614257,0.459464,0.072456,0.946232,-0.242931,0.104081,0.658809,0.23704,0.723414,0.154704,0.409144,-0.908351,-0.544203,-0.421224,-0.840416,-0.534418,-0.797997,-0.444053,0.271369,-0.270336,-0.259638,-0.580986,-0.466044,0.873309,0.296071,0.218262,-0.657723,0.458254,-0.673195,-0.241089,0.979047,0.28,0.113899,0.369229,0.685704,0.552,-0.541904,-0.9358,-0.369094,-0.464518,-0.578034,0.885819,0.752735,-0.370644,0.310877,-0.208736,0.829095,-0.082296,-0.47024,-0.506745,0.122736,-0.474517,0.169172,0.795646,-0.201199,-0.561358,0.995075,0.019053,-0.818181,-0.905767,-0.780702,0.254892,0.584159,-0.15568,-0.872945,-0.236761,0.992243,0.058229,0.942157,0.721559,-0.977038,0.441444,0.363421,0.073941,-0.46635,0.281924,-0.776896,-0.130469,-0.092553,0.907632,0.751706,-0.473222,0.001172,-0.642696,0.825256,0.741037,-0.40311,0.277899,0.21794,-0.694321,0.525022,0.078758,0.557253,0.060707,-0.998856,-0.351688,-0.961047,0.858197
vec-1,0.757444,0.663331,-0.384972,-0.88415,0.756019,0.893899,-0.828693,-0.028019,-0.861575,0.521204,0.531669,-0.743217,-0.049435,0.099607,-0.469887,0.744866,-0.153724,-0.576404,0.078592,0.459862,-0.597698,-0.376567,0.990299,0.299756,-0.1238,0.035152,-0.757992,-0.550605,-0.323829,0.176617,-0.539771,-0.559565,-0.858014,0.262206,-0.542116,0.81084,0.719271,-0.858285,-0.523991,0.337956,-0.571526,-0.735376,0.871028,0.142086,-0.054658,0.569239,0.614994,-0.61918,-0.806138,-0.137898,-0.152843,-0.065951,0.458152,0.346729,0.96833,-0.803164,-0.194757,-0.321395,0.723345,-0.502687,-0.619582,-0.102773,-0.156237,-0.44291,-0.500387,0.846531,-0.113739,0.722698,0.100651,-0.898823,0.998565,0.672055,0.937993,0.852734,0.697391,-0.667378,-0.028718,-0.572505,-0.197919,-0.882729,-0.242054,0.970618,-0.469594,0.568141,-0.089983,-0.153985,0.914635,0.990845,0.111537,0.436817,-0.690406,-0.406584,0.937419,0.158361,0.08439,0.495951,-0.885669,0.168355,0.005701,0.70544,-0.685135,0.921558,-0.839777,-0.62835,0.19007,0.350425,-0.529592,-0.760227,0.780575,-0.507569,0.189038,0.238763,-0.16155,0.167345,0.045565,0.869413,-0.591482,0.432384,-0.522628,-0.208428,0.34338,-0.400006,-0.367646,0.503729,-0.854914,-0.083429,0.996909,0.992193
vec-2,-0.853479,-0.573691,-0.469599,0.866519,0.761728,0.75854,-0.260946,-0.684506,0.66749,0.40708,0.223356,0.974466,0.307953,-0.984354,0.634208,-0.401242,0.326777,0.87786,-0.731418,-0.769143,-0.785928,0.106447,-0.455304,0.20966,0.435224,-0.592805,0.268476,-0.472032,-0.022936,0.810673,0.692207,-0.815403,-0.152848,-0.44664,-0.992909,0.542238,0.274227,-0.476089,0.482462,0.103361,-0.144626,-0.980661,-0.849512,0.766213,0.807857,0.091181,0.66919,0.165019,-0.703812,-0.745109,-0.383483,0.797963,0.592245,0.721405,0.797849,-0.579847,-0.500941,-0.794413,0.560232,0.768269,-0.187245,0.241323,-0.690893,0.859762,0.729211,0.952412,0.621543,0.762832,-0.950427,0.473129,-0.335629,0.861632,0.60447,0.728128,0.621499,-0.466389,0.574749,-0.783809,0.744334,0.717187,-0.555133,0.633173,-0.079394,-0.389618,0.590691,-0.544809,-0.952671,-0.61374,-0.343476,0.728706,0.933778,-0.44175,0.282963,-0.200643,0.962299,0.072431,0.878474,-0.769316,0.940801,-0.642864,0.925069,-0.469067,-0.783195,-0.130872,0.45709,-0.372645,0.212418,0.022846,-0.229609,0.153176,-0.490555,0.417571,-0.996617,0.85115,0.076904,0.43886,0.4839,0.341257,-0.271557,-0.860052,0.328475,-0.3396,-0.372169,0.696031,0.439509,-0.399355,-0.381431,-0.183214
vec-3,-0.195199,-0.40869,-0.745424,-0.159107,0.880727,0.354636,0.805611,0.23103,-0.3981,0.095874,-0.999188,-0.426173,-0.140224,0.15997,0.309411,-0.070024,-0.11568,-0.572597,-0.053628,0.802362,0.59205,-0.660617,-0.830409,0.030904,0.265882,-0.329623,0.636847,0.502276,0.345591,-0.550719,-0.60174,-0.951149,-0.510315,-0.049727,0.699475,-0.854344,-0.171118,0.259531,-0.61113,0.392709,-0.011246,-0.512031,0.312116,-0.98891,0.501929,0.540092,-0.786825,-0.149708,-0.648227,0.915932,0.035916,-0.899563,-0.501603,0.696673,-0.087076,0.602833,0.335155,0.975785,0.190905,0.900079,0.782852,0.225305,0.438548,0.009556,0.661138,0.095744,0.794416,0.487311,-0.050651,-0.481617,-0.505521,0.275323,0.531627,0.0426,0.253497,-0.450805,-0.845033,-0.428544,-0.45657,-0.360581,0.080304,-0.723252,-0.537477,0.3879,0.412838,-0.871542,-0.184801,0.085222,-0.168452,-0.586331,-0.159713,0.809677,0.168159,0.391046,0.713464,0.531189,-0.239238,-0.988208,-0.296482,0.50695,0.706896,0.906861,-0.161957,0.495031,0.092265,0.206505,-0.558923,-0.561157,-0.128328,-0.94195,-0.327741,0.358284,-0.191367,-0.669911,-0.06522,-0.744744,0.244514,-0.946067,-0.211959,0.128784,-0.945796,0.285499,-0.728601,-0.076603,-0.899431,-0.241792,-0.576679,-0.346308
vec-4,0.522459,-0.241748,0.50402,0.663849,-0.495457,-0.836188,-0.961233,0.078838,0.999816,-0.300079,0.300288,0.562466,0.303509,0.508466,0.899223,-0.601279,-0.95924,-0.695235,-0.747558,0.338918,0.127939,-0.564071,0.39893,0.533796,-0.664422,0.214495,0.495851,-0.770934,0.638602,0.929442,-0.783803,-0.948643,-0.376086,0.354695,0.916346,-0.206691,0.430029,-0.848007,0.381229,0.254485,-0.796197,0.544962,0.700586,0.200823,-0.75789,0.967689,0.565271,-0.305592,-0.143244,-0.258858,0.011922,-0.317538,0.699151,0.644662,-0.788922,0.921575,0.27117,0.657415,0.414617,-0.129026,0.467591,0.930947,-0.459835,0.616398,0.076346,-0.033005,-0.128851,0.462052,-0.463209,0.703426,0.661462,-0.826674,0.763262,-0.512273,-0.070583,0.220663,-0.242021,-0.9426,0.701906,-0.63632,-0.57576,0.595665,-0.319322,0.76064,0.402368,-0.447463,-0.979698,0.896125,-0.828774,0.440149,-0.022844,0.516329,0.381219,0.291806,-0.018357,0.585866,-0.813893,-0.556807,0.383574,-0.387588,0.163111,-0.053479,0.061844,-0.148992,0.491871,-0.338417,0.40571,-0.458167,-0.497193,-0.758688,-0.614831,-0.760891,0.071728,0.524379,-0.6297,-0.567231,-0.031603,0.44917,0.953214,0.049274,-0.434003,-0.798948,-0.611765,-0.545034,-0.641117,-0.971703,0.06827,-0.451377
vec-5,0.94859,0.106718,0.394835,-0.747441,0.736922,-0.018243,0.745439,0.148128,-0.061206,-0.119062,-0.631273,-0.897247,0.882127,-0.044542,0.644231,-0.198585,-0.851836,0.258891,-0.892782,-0.701605,0.125679,-0.392329,0.987836,-0.763097,0.528887,0.212635,0.581482,-0.548626,0.045145,-0.098971,-0.114558,0.720333,0.980063,-0.38924,0.242055,0.219262,0.480179,0.89518,-0.584424,-0.57795,0.320856,-0.685886,-0.652373,-0.84987,-0.994649,-0.098993,0.187622,-0.417481,-0.537048,0.413912,0.405975,-0.091937,0.37477,0.847822,0.575656,0.250116,0.322366,0.867337,-0.149722,0.089125,0.295269,0.816823,0.653262,-0.85718,-0.668154,-0.384776,0.497915,0.138414,-0.422779,-0.751293,0.377356,0.399467,0.885352,0.000944,-0.01241,-0.839116,-0.920278,-0.135943,-0.355357,-0.499264,-0.817346,0.923822,0.671917,0.150398,0.901573,0.999145,0.344563,-0.460978,-0.919537,0.512538,-0.058998,0.303019,0.832146,-0.637022,0.170659,0.269569,-0.016548,-0.817515,-0.304078,-0.333383,0.340267,0.715466,-0.340393,0.387347,-0.423564,0.890387,0.627132,0.100193,-0.090348,-0.370966,-0.353452,0.940369,-0.19165,0.029193,0.976238,0.315321,0.085187,-0.173505,-0.624835,-0.276441,0.512886,0.250817,0.519981,-0.592884,0.098439,0.855346,-0.123768,0.3965
vec-6,-0.757148,0.946294,0.217743,-0.521405,-0.683244,0.101678,0.104503,-0.813582,0.984514,0.82586,-0.077104,-0.765068,0.664286,-0.003249,0.433207,0.017744,-0.45315,0.669448,0.960489,-0.512538,0.10253,-0.232828,0.843736,0.016482,0.758653,0.728054,-0.447505,0.580012,-0.170115,0.868497,0.015475,0.641099,-0.434322,-0.402888,0.173875,0.997805,-0.020719,-0.702809,0.077161,-0.309752,0.103835,0.08686,-0.089311,-0.356445,-0.622695,0.394997,0.143595,-0.532875,0.551089,-0.912705,0.48941,0.410456,0.622818,-0.227842,0.327378,0.641495,0.961636,-0.009343,-0.925961,0.004582,0.180361,0.739401,0.748381,-0.119388,0.051902,-0.086144,0.444888,-0.180043,0.309563,-0.691278,-0.061019,0.938407,-0.322878,0.385409,0.299673,0.703531,0.704683,0.718684,-0.239981,-0.366678,0.437435,0.518804,0.744766,-0.928202,-0.863159,0.262322,0.841858,0.994852,0.493533,-0.132057,-0.803114,0.267496,0.745158,-0.112643,0.388002,0.806848,-0.908018,0.592287,-0.413264,-0.250318,-0.70886,0.062333,0.131856,0.585039,-0.660033,-0.842063,0.741679,0.239421,-0.51834,0.825658,-0.713765,-0.0777,-0.492045,-0.489347,-0.981205,0.609266,0.802419,0.355222,-0.684049,-0.11654,-0.308869,0.175143,0.277877,-0.151382,-0.499804,0.690608,-0.601566,-0.230614
vec-7,-0.033584,-0.525589,0.143845,0.149624,0.985384,-0.409538,0.955889,0.31646,-0.451039,0.131858,0.371599,0.489338,-0.901911,0.212813,-0.006545,0.808311,-0.427612,0.59772,0.21413,-0.295358,0.273236,0.241782,0.355529,0.441857,0.318363,0.676674,0.256496,0.806807,0.292681,-0.382134,-0.118354,0.159148,0.46472,-0.819733,-0.409779,0.494962,-0.64872,-0.73568,0.078816,0.942979,0.061705,0.826974,0.660945,-0.48606,0.64938,-0.036304,0.612977,0.493119,-0.322569,-0.769661,0.925787,-0.718486,0.933,0.720281,0.448433,0.959884,0.934539,0.609175,-0.26845,0.581364,-0.972163,0.073145,-0.090428,0.345657,0.344682,0.16912,0.644835,0.880584,-0.783308,-0.532356,-0.949951,0.76847,0.122815,0.830512,-0.557266,-0.873566,0.647711,0.818775,-0.39562,-0.183408,-0.720446,0.892523,-0.391271,-0.014751,-0.805616,0.774519,-0.728672,-0.092712,0.340972,0.48628,0.891948,-0.161746,0.484538,-0.690954,-0.170231,-0.801957,-0.021306,-0.183768,0.903043,-0.934567,-0.25894,-0.113234,0.90111,0.7109,-0.801291,0.371361,0.088932,0.955685,-0.282652,-0.203721,-0.620383,-0.755681,0.696066,-0.090565,0.325537,0.283409,0.194292,-0.957285,0.573589,-0.512862,-0.748152,0.129156,-0.86278,0.530315,-0.585685,-0.568097,0.739391,-0.342881
vec-8,-0.704892,0.801062,-0.994329,0.716812,-0.710624,-0.740016,-0.498692,-0.651006,0.322115,-0.94844,-0.970279,0.579969,-0.524137,-0.352457,-0.651508,-0.895202,0.483436,0.052171,0.491331,-0.047508,0.556034,0.026476,-0.781892,0.007677,0.890831,-0.91327,0.566454,0.733962,0.042902,-0.083915,0.928052,-0.878349,-0.042036,-0.196765,0.372195,-0.019462,0.819402,-0.853019,-0.838419,0.216595,-0.868636,-0.449968,0.266153,0.096713,-0.349629,0.989256,0.061114,-0.092569,0.210854,-0.801643,0.403559,0.705585,0.301833,0.537925,0.44168,-0.569954,-0.09689,-0.543013,-0.322137,-0.093002,-0.168021,-0.809828,-0.146472,0.330216,-0.251398,-0.694722,0.84597,-0.865733,0.663544,-0.81354,-0.806871,0.477592,0.623539,0.112741,0.17293,0.123173,-0.340708,-0.755537,-0.292804,0.330681,0.500569,0.736184,0.442121,0.936797,0.20082,-0.296708,0.155837,-0.574522,0.313473,-0.55151,-0.783563,0.690747,-0.264878,0.525211,0.1482,0.614443,0.69031,0.949093,0.636854,0.227147,0.285398,-0.947492,0.858169,0.658922,-0.465105,-0.639168,0.405398,-0.382031,-0.320351,-0.987788,0.739725,0.132642,-0.198431,-0.716251,0.266344,-0.938686,0.492224,-0.569734,-0.160335,-0.318208,-0.259894,0.443192,0.553671,0.135187,-0.830086,-0.894782,-0.68518,0.235676
vec-9,0.347937,-0.455794,0.323877,-0.028677,-0.115912,-0.453666,0.509886,-0.772365,-0.140173,-0.433507,0.356973,-0.026734,0.334265,-0.909165,-0.209473,0.19865,-0.984626,-0.397161,-0.577532,-0.72553,-0.488961,-0.343755,-0.98454,0.494028,-0.64861,-0.239585,0.407343,0.000525,0.666708,0.6124,-0.855849,0.723529,-0.915395,-0.962517,0.842325,0.72422,0.151518,0.146799,0.418998,-0.164612,-0.769653,-0.958287,-0.350464,0.602644,0.236251,0.664052,0.83954,-0.82374,0.688969,-0.513367,0.177743,0.047925,-0.208467,-0.379451,-0.320973,-0.333863,-0.663735,0.020967,-0.771947,0.019904,0.811845,-0.301249,0.454758,0.637897,0.630074,-0.527462,-0.707112,-0.605456,0.204798,0.520431,0.311018,-0.645708,0.545696,-0.011766,0.508892,0.519754,-0.102189,0.848309,0.128984,0.270597,0.249044,0.728494,0.254435,-0.698085,-0.863427,-0.115584,-0.394359,-0.450653,-0.887656,0.014674,-0.379184,-0.096172,-0.88622,0.663393,-0.846538,0.7285,0.710587,0.230017,0.014136,-0.074577,0.108633,0.583636,0.791754,-0.100533,0.619632,0.303675,-0.356946,-0.048742,-0.698278,-0.876253,-0.792996,0.798254,-0.313124,0.428631,0.009098,-0.654882,-0.504513,-0.124483,-0.121156,0.045496,-0.682508,-0.254296,-0.434213,-0.182461,-0.323266,0.195772,0.578454,0.294611
